Nombre_Nuevo_Excel,Mejor_Coincidencia_Sistema_Actual,Nivel_de_Confianza_Porcentaje,Sheet_Origen
CAR9740 CARCAZA TIJERA DE LUV 9740,INY-9744AEAD,39,INYECCION
CAR9760 CARCAZA ENSAMBLE 9760,INY-5CA96A6C,39,INYECCION
CAR9780 CARCAZA PARA ENSAMBLE 9780,878caebf,33,INYECCION
CAR9858 CARCAZA PARA ENSAMBLE 9858 EXT 35,INY-158CCACD,30,INYECCION
CAR9859 CARCAZA PARA ENSAMBLE 9859,9999caae,38,INYECCION
CAR9920 CARCAZA PARA ENSAMBLE 9920,9999caae,38,INYECCION
CB9306HDR BUJE POLIURETANO PARA ENSAMBLE 9306HDR,CB9306HDR,32,PULIDO
CB9380 BUJE POLIRETANO PARA ENSAMBLE 9380,INY-3EC6BC3A,34,INYECCION
CB9721 BUJE PARA ENSAMBLE 9721,FR-9303 / CB9721,45,FICHAS_INT_CAR
CB9727 BUJE PARA ENSAMBLE 9727,FR-9303 / CB9721,41,FICHAS_INT_CAR
CB9735 BUJE POLIURETANO PARA ENSAMBLE BT-50 9735,INY-9BBB3ACC,30,INYECCION
CB9740 BUJE POLIURETANO PARA ENSAMBLE 9740,INY-9744AEAD,37,INYECCION
CB9760 BUJE POLIURETANO PARA ENSAMBLE 9760,INY-BC90EC97,33,INYECCION
CB9766 BUJE POLIURETANO PARA ENSAMBLE 9766,INY-746B9166,33,INYECCION
CB9779 BUJE POLIURETANO  PARA ENSAMBLAR 9779,INY-BD0E79BA,33,INYECCION
CB9780 BUJE POLIURETANO  PARA ENSAMBLE 9780,INY-BC90EC97,33,INYECCION
CB9782 BUJE POLIURETANO PARA ENSAMBLE 9782,INY-832E6C98,33,INYECCION
CB9795 BUJE PARA ENSAMBLE 9795,INY-F9BE9D75,38,INYECCION
CB9796 BUJE PARA ENSAMBLE 9796,INY-789FCB79,38,INYECCION
CB9813 BUJE BARRA TENSORA VOLVO 9813,FR-9303 / CB9721,36,FICHAS_INT_CAR
CB9814 BUJE PARA ENSAMBLE 9814,8be14dea,37,INYECCION
