Nombre_Nuevo_Excel,Mejor_Coincidencia_Sistema_Actual,Nivel_de_Confianza_Porcentaje,Sheet_Origen
"FR-9468 9468 BUJE MUÑECO HYUNDAI ACCENT 5/16, 5 1/2",INY-1B656468,33,INYECCION
FR-9469 9469 BUJE TORNILLO PARA BARRA ESTABILIZADORA PARA MAZDA,INY-9744AEAD,24,INYECCION
FR-9609 9609 RB-410 BUJE MUELLE PARTE FIJA CHEVROLET LUV 2300,9999caae,23,INYECCION
FR-9622 9622 BUJE MUELLE SUAVIZADOR UNIVERSAL,INY-9BF462BE,28,INYECCION
FR-9628 9628 BUJE MUELLE HULE BALANCIN CORTO PARA MITSUBISHI MONTERO.,INY-68BA7B4E,22,INYECCION
FR-9629 9629 BUJE MUELLE HULE BALANCIN LARGO PARA MITSUBISHI MONTERO.,INY-9BF462BE,20,INYECCION
FR-9630 9630 BUJE INFERIOR BALANCIN MUELLE TRASERO MAZDA SERIE B,FR-9303 / CB9721,26,FICHAS_INT_CAR
FR-9631 9631 BUJE AMORTIGUADOR DE 1 PARA MERCEDES BENZ,INY-1C319661,27,INYECCION
FR-9632 9632 BUJE SUSPENSION PARA BARRA ESTABILIZADORA CON PESTAÑA,INY-D232EEE8,23,INYECCION
FR-9632N 9632N BUJE SUSPENSION PARA BARRA ESTABILIZADORA CON PESTAÑA NEGRO,INY-D232EEE8,21,INYECCION
FR-9633 9633 BUJE COMPENSADOR AMORTIGUADOR UNIVERSAL MEDIANO,INY-6D3ADC7A,25,INYECCION
FR-9634 9634 BUJE CONICO PARA AMORTIGUADOR MEDIANO ATOS,INY-3C624AAD,27,INYECCION
FR-9636 9636 BUJE TIJERA SPRINT,INY-3265F93B,37,INYECCION
FR-9640 9640 BUJE BARRA ESTABILIZADORA LUV DMAX,FR-9306HDR,28,FICHAS_INT_CAR
FR-9658 9658 BUJE MUELLE BALANCIN RB-414 SOLO POLIURETANO,INY-44B0CBEE,29,INYECCION
FR-9672 9672 BUJE MUELLE BALANCIN PARA NKR/NHR POLIURETANO,INY-9BF462BE,23,INYECCION
FR-9701 9701 BUJE CHANA HAFEI SUSPENSION,INY-77D1BEE1,35,INYECCION
FR-9702 9702 BUJE TOYOTA NEW HILUX VIGO 2007 LARGO,INY-79AB722F,32,INYECCION
FR-9703 9703 BUJE TOYOTA HILUX VIGO 2007 CORTO,FR-9303 / CB9721,30,FICHAS_INT_CAR
FR-9704 9704 BUJE MUELLE CHEVROLET N200 CHANA CORTO,09eaaee2,27,INYECCION
FR-9705 9705 BUJE MUELLE PARTE FIJA CHINOS,INY-1702535B,30,INYECCION
FR-9706 9706 BUJE BALANCIN DELANTERO HYUNDAI ENSAMBLADO COMPLETO,INY-90336979,24,INYECCION
FR-9707 9707 BUJE BALANCIN HYUNDAI CONTY ENSAMBLADO COMPLETO,INY-90336979,22,INYECCION
FR-9708 9708 BUJE BALANCIN MUELLE DAIHATSU F-20,INY-52970766,27,INYECCION
FR-97089 97089 BUJE BARRA ESTABILIZADORA RENAULT SYMBOL,INY-90336979,27,INYECCION
FR-9709 9709 BUJE TEMPLETE PARA CHINOS TODAS LAS SERIES,9999caae,25,INYECCION
FR-9710 9710 BUJE AMORTIGUADOR DELANTERO TOYOTA NEW HILUX VIGO 2007,INY-07DBDAE9,28,INYECCION
FR-9711 9711 BUJE PARTE FIJA DAIHATSU F-20 TODOS - CHEVROLET N400 Y  N300 MODELO NUEVO,INY-77D1BEE1,21,INYECCION
FR-9712 9712 BUJE PARTE FIJA HYUNDAI CON INTERNO,INY-9271F7A2,30,INYECCION
FR-9713 9713 BUJE PARTE TENSORA TRAILER ORINOCO,FR-9303 / CB9721,30,FICHAS_INT_CAR
FR-9714 9714 BUJE SUAVIZADOR MEDIANO,INY-14E4B23E,33,INYECCION
FR-9715 9715 BUJE SUAVIZADOR GRANDE,INY-77D1BEE1,34,INYECCION
FR-9716 9716 BUJE SUAVIZADOR PEQUEÑO,INY-77D1BEE1,34,INYECCION
FR-9717 9717 BUJE PARA TENSORA TRAILER ORINOCO GRANDE,INY-77D1BEE1,28,INYECCION
FR-9718 9718 BUJE BALANCIN FOTON CAMION,INY-97129E78,35,INYECCION
FR-9719 9719 BUJE FOTON (AUMARK),FR-9779,38,FICHAS_INT_CAR
FR-9720 9720 BUJE PARTE FIJA FRONTIER GRUESO,FR-9303 / CB9721,31,FICHAS_INT_CAR
FR-9721 9721 BUJE CHASIS NPR 39 mm (ENSAMBLADO),FR-9303 / CB9721,31,FICHAS_INT_CAR
FR-9722 9722 RB 413 BUJE PARTE FIJA NPR 2011,INY-11325997,32,INYECCION
FR-9723 9723 RB 440 BUJE PARTE FIJA NPR 2011,INY-14E4B23E,32,INYECCION
FR-9724 9724 BUJE BALANCIN NISSAN FRONTIER,INY-44B0CBEE,37,INYECCION
FR-9725 9725 BUJE DAIHATSU F20 LARGO,9759aa2f,36,INYECCION
FR-9726 9726 BUJE ESTABILIZADORA VIGO HIACE,INY-296D0CE6,29,INYECCION
FR-9727 9727 BUJE TIJERA INFERIOR PEQUEÑO NISSAN TIIDA MICRA,INY-77D1BEE1,23,INYECCION
FR-9728 9728 BUJE NPR TAPAS,FR-9782,41,FICHAS_INT_CAR
FR-9729 9729 BUJE MUELLE PARTE FIJA NISSAN FRONTIER 20mm,INY-9939AF1F,26,INYECCION
FR-9730 9730 BUJE NKR-NHR CHASIS,FR-9303 / CB9721,39,FICHAS_INT_CAR
FR-9731 9731 BUJE MUELLE CHEVROLET N300 2015 Corto,INY-591EE0EE,29,INYECCION
FR-9732 9732 BUJE MUELLE TOYOTA MONJITA VENEZOLANA,INY-739D532B,29,INYECCION
FR-9733 9733 BUJE MUELLE NISSAN SUPER URBAN LARGO,FR-9303 / CB9721,29,FICHAS_INT_CAR
FR-9734 9734 BUJE MUELLE NISSAN SUPER URBAN CORTO,INY-44B0CBEE,30,INYECCION
FR-9735 9735 BUJE TIJERA MAZDA Y FORD RANGER BT-50 MOD 2008 - 2013,INY-58037BAE,26,INYECCION
FR-9736 9736 BUJE MUELLE NISSAN NAVARA LARGO,INY-90336979,29,INYECCION
FR-9737 9737 BUJE SUAVIZADOR MERCEDES BENZ,INY-737B2BC3,30,INYECCION
FR-9738 9738 BUJE MUELLE PARTE FIJA MAZDA SERIE B (REFORZADO),INY-9939AF1F,23,INYECCION
FR-9738R 9738R BUJE MUELLE PARTE FIJA MAZDA SERIE B CON INT,INY-8CDEAEEE,25,INYECCION
FR-9739 9739 BUJE MUELLE ISUZO NHR/NKR TAPAS,INY-73993ABB,32,INYECCION
FR-9740 9740 BUJE SUPERIOR DE TIJERA DE LUV 2300,0040eded,29,INYECCION
FR-9741 9741 BUJE BALANCIN LARGO TOYOTA HIACE,INY-742941BA,35,INYECCION
FR-9742 9742 BUJE BARRA ESTABILIZADORA HINO PEQUEÑO,INY-9744AEAD,35,INYECCION
FR-9743 9743 BUJE BARRA ESTABILIZADORA HINO GRANDE,INY-9744AEAD,35,INYECCION
FR-9744 9744  BUJE BALANCIN FORD RANGER CORTO 2015,INY-9744AEAD,30,INYECCION
FR-9745 9745 BUJE BALANCINFORD RANGER MODELO 2015 LARGO,INY-9744AEAD,30,INYECCION
FR-9746 9746 BUJE BARRA TEMPLETE HINO,INY-742941BA,37,INYECCION
FR-9747 9747 BUJE TOYOTA LAND CRUISER VENEZOLANA,INY-742941BA,30,INYECCION
FR-9748 9748 BUJE SUAVISADOR HOJA ECUADOR,INY-9744AEAD,34,INYECCION
FR-9749 9749 BUJE  SUAVISADOR DMAX,INY-742941BA,36,INYECCION
FR-9750 9750 BUJE PARTE FIJA VIGO 23MM (BUJE ENSAMBLE 9739),FR-9303 / CB9721,25,FICHAS_INT_CAR
FR-9751 9751 BUJE BARRA ESTABILIZADORA FORD CARGO,FR-9303 / CB9721,25,FICHAS_INT_CAR
FR-9752 9752 BUJE BARRA ESTABILIZADORA MAZDA BT-50,INY-58037BAE,26,INYECCION
"FR-9753 9753 BUJE MUELLE MERCEDES BENZ ATEGO 1725 , 1016",INY-10729950,27,INYECCION
FR-9754 9754 BUJE MUELLE MERCEDES BENZ ATEGO LO 1726,7679ebfe,27,INYECCION
FR-9755 9755 BUJE MUELLE MERCEDES BENZ LO-814,FR-9795,27,FICHAS_INT_CAR
FR-9756 9756 BUJE PUNTA DE BARRA ESTABILIZADORA VOLSWAGEN CAMION 1800,INY-16E7EADE,25,INYECCION
FR-9756 H 9756 H BUJE PUNTA DE BARRA ESTABILIZADORA VOLSWAGEN CAMION 1800 HEMBRA,INY-16E7EADE,22,INYECCION
FR-9756 M 9756 M BUJE PUNTA DE BARRA ESTABILIZADORA VOLSWAGEN CAMION 1800 MACHO,INY-16E7EADE,22,INYECCION
FR-9757 9757 BUJE BALANCIN N300 LARGO,INY-175B77B7,33,INYECCION
FR-9758 9758 BUJE MUELLE DAIHATSU DELTA,FR-9795,30,FICHAS_INT_CAR
FR-9759 9759 BUJE MUELLE DAIHATSU SUPER DELTA,FR-9779,27,FICHAS_INT_CAR
"FR-9760 9760 BUJE AMORTIGUADOR TOYOTA PRADO VIGO, TOYOTA HIACE",09aecdaa,23,INYECCION
"FR-9761 9761 BUJE AMORTIGUADOR CARRETA UNIVERSAL, PUNTA BARRA ESTABILIZADORA NHR",INY-77D1BEE1,20,INYECCION
FR-9762 9762 BUJE CONICO AMORTIGUADOR NPR/NHR/NKR,INY-9C262D6B,30,INYECCION
FR-9763 9763 BUJE NISSAN MT 3000,INY-0969EF13,41,INYECCION
"FR-9764 9764 BUJE BARRA ESTABILIZADORA NPR, NKR, NHR",INY-9744AEAD,32,INYECCION
FR-9765 9765 BUJE TOPE AUXILIAR NPR / NHR / NKR,INY-76253970,29,INYECCION
FR-9766 9766 BUJE TIJERA SUPERIOR NISSAN FRONTIER,INY-77D1BEE1,26,INYECCION
FR-9767 9767 BUJE TOPE AUXILIAR MUELLE TOYOTA HAICE / JINBEI HAISE,INY-77D1BEE1,24,INYECCION
FR-9768 9768 BUJE TOPE AUXILIAR MUELLE HYUNDAI MITSUBHISHI CANTER,INY-97129E78,23,INYECCION
FR-9769 9769 BUJE BALANCIN CHERRY YOYO LARGO,INY-90336979,32,INYECCION
FR-9770 9770 BUJE BARRA ESTABILIZADORA MERCEDES BENZ LO 814 ATEGO 1725 Y 1726,INY-58037BAE,22,INYECCION
FR-9771 9771 BUJE BARRA ESTABILIZADORA CHEVROLET SPARK 724,INY-77D1BEE1,23,INYECCION
FR-9772 9772 BUJE BARRA ESTABILIZADORA CHEVROLET N200 Y CHINOS,INY-9BBB3ACC,24,INYECCION
"FR-9773 9773 BUJE CHEVROLET / DFSK CITYVAN C37, C35 Y C31",INY-9BEC3513,33,INYECCION
FR-9774 9774 BUJE BARRA TENSORA NISSAN PATROL,INY-742941BA,32,INYECCION
FR-9775 9775 BUJE AMORTIGUADOR KENWORTH (CABINAS),INY-77D1BEE1,27,INYECCION
FR-9776 9776 BUJE BARRA ESTABILIZADORA HYUNDAI i10 Y KIA PICANTO,INY-7E66DF0A,29,INYECCION
FR-9777 9777 BUJE BARRA ESTABILIZADORA HYUNDAI STAREX,INY-9744AEAD,25,INYECCION
"FR-9778 9778 BUJE TOYOTA 4,5 PESTAÑA ANCHA",INY-F5878EE5,30,INYECCION
FR-9779 9779 BUJE TIJERA SUPERIOR DMAX 4X2,FR-9779,29,FICHAS_INT_CAR
FR-9780 9780 BUJE TIJERA INFERIOR D MAX 4X2,INY-490DF3FA,33,INYECCION
"FR-9781 9781 BUJE ESCOPETA TOYOTA, BURBUJA NISSAN PATROL CENTRADO",INY-9BBB3ACC,29,INYECCION
FR-9782 9782 BUJE TIJERA SUPERIOR TOYOTA PRADO,INY-97129E78,31,INYECCION
"FR-9783 9783 BUJE CHEVROLET LUV ESPECIAL, FOTON Y JAC T6",INY-07D336CE,27,INYECCION
"FR-9784 9784 BUJE BARRA TENSORA CHEVROLET N300 / DFSK CITYVAN C37, C35 Y C31",INY-9BEC3513,26,INYECCION
FR-9785 9785 BUJE CILINDRO 75 X 45 X 25,INY-58513975,35,INYECCION
FR-9786 9786 BUJE SUZUKI GRAND VITARA SZ,FR-9766,30,FICHAS_INT_CAR
FR-9787 9787 BUJE BARRA ESTABILIZADORA AVEO,FR-9779,28,FICHAS_INT_CAR
FR-9788 9788 BUJE BARRA ESTABILIZADORA CORSA,878caebf,31,INYECCION
FR-9788C 9788C BUJE BARRA ESTABILIZADORA CHINOS INT 20ML,INY-8075CCCE,26,INYECCION
FR-9789 9789 BUJE BARRA ESTABILIZADORA RENAULT SYMBOL,INY-68BA7B4E,28,INYECCION
FR-9790 9790 BUJE MUELLE MAZDA BT-50,FR-9707,33,FICHAS_INT_CAR
FR-9791 9791 BUJE BARRA TENSORA LUV 2300/ TROOPER,FR-9303 / CB9721,29,FICHAS_INT_CAR
FR-9792 9792 BUJE VARILLA TENSORA MAZDA B2000,INY-79AB722F,28,INYECCION
FR-9793 9793 BUJE BALANCIN INFERIOR CHERY YOYO CORTO,INY-73993ABB,34,INYECCION
FR-9794 9794 BUJE MUELLE UAZ,FR-9779,40,FICHAS_INT_CAR
FR-9795 9795 BUJE MUELLE VOLKSWAGEN BENZ 515 GRANDE,INY-5512EEFA,25,INYECCION
FR-9796 9796 BUJE MUELLE VOLKSWAGUEN CRAFTER Y MERCEDES BEN PEQUEÑO,INY-9939AF1F,23,INYECCION
FR-9797 9797 BUJE PUNTA DE BARRA ESTABILIZADORA MERCEDES BENZ,INY-73993ABB,25,INYECCION
FR-9798 9798 BUJE DE TIJERA VOLKSWAGEN TIPO 4,INY-77D1BEE1,28,INYECCION
FR-9799 9799 BUJE TIJERA DE VOLKSWAGEN TIPO 4 PEQUEÑO,INY-77D1BEE1,25,INYECCION
FR-9800 9800 BUJE CAJA DE DIRECCION TOYOTA PRADO,INY-89E0EDD3,30,INYECCION
FR-9801 9801 BUJE BARRA ESTABILIZADORA RENAULT DUSTER,INY-0E18A1A2,25,INYECCION
FR-9802 9802 BUJE MUELLE WILLYS,INY-86258102,37,INYECCION
FR-9803 9803 BUJE MUELLE VERSION ESPECIAL LUV  40 X 16,INY-6EC1AEEB,28,INYECCION
"FR-9804 9804 BUJE BARRA TENSORA DELANTERA CHERY  X1, QQ6",09aecdaa,26,INYECCION
FR-9805 9805 BUJE SUAVIZADOR CUADRADO PESTAÑA OVALADA,INY-89E0EDD3,25,INYECCION
FR-9806 9806 BUJE BARRA TENSORA HYUNDAI H-106 GRACE Y STAREX / MITSUBISHI L300,INY-0969EF13,25,INYECCION
FR-9807 9807 BUJE BARRA ESTABILIZADORA NAVARA NEW FRONTIER,INY-58037BAE,26,INYECCION
FR-9808 9808 BUJE ESPECIAL LUV GRUESO EXT 39 INT 16,INY-9C0CE0FE,29,INYECCION
FR-9809 9809 BUJE BARRA ESTABILIZADORA MERCEDES BENZ   LO 915,INY-58037BAE,23,INYECCION
FR-9810 9810  BUJE SILEN DE HOJA DE MUELLE,INY-91EEAEE5,38,INYECCION
FR-9811 9811 BUJE SUVISADOR UNIVERSAL,INY-89688D1F,33,INYECCION
FR-9812 9812 BUJE BARRA ESTABILIZADORA VOLVO,FR-9821,27,FICHAS_INT_CAR
FR-9813 9813 BUJE  TENSORA VOLVO (JUEGO),FR-9831,32,FICHAS_INT_CAR
FR-9814 9814 BUJE CHASIS Y BALANCIN LAND ROVER,INY-44B0CBEE,34,INYECCION
FR-9815 9815 BUJE CARRETA UNIVERSAL CON INTERNO,INY-158CCACD,31,INYECCION
FR-9816 9816 BUJE BARRA ESTABILIZADORA LUV DMAX RT-50 2016,INY-0515F19B,23,INYECCION
FR-9817 9817 BUJE BARRA ESTABILIZADORA HINO FC CON PESTAÑA,INY-9BBB3ACC,26,INYECCION
FR-9818 9818 BUJE BARRA ESTABILIZADORA HINO SIN PESTAÑA,INY-89688D1F,27,INYECCION
FR-9819 9819 BUJE MUESTRA IVECO,INY-9939AF1F,33,INYECCION
FR-9820 9820 BUJE TIJERA DE MAZDA B-2000,INY-89E0EDD3,31,INYECCION
FR-9821 9821 BUJE TIJERA MONTERO MITSUBISHI V6 Y NATIVA,INY-89688D1F,27,INYECCION
FR-9822 9822 BUJE TIJERA MAZDA INFERIOR B 2600 2200 Y BT-50,INY-20803252,28,INYECCION
FR-9823 9823 BUJE (JUEGO) DE BARRA ESTABILIZADORA TOYOTA PUNTA,INY-38BACE22,25,INYECCION
FR-9824 9824 BUJE TOYOTA DE ESCOPETA DESCENTRADO ( SUSPENSIÓN AUSTRALIANA),INY-9744AEAD,27,INYECCION
FR-9825 9825 BUJE TOPE AUXILIAR MUELLE HINO,INY-86258102,29,INYECCION
"FR-9826 9826 BUJE ESCOPETA DE TOYOTA BURBUJA 4,5 NISSAN PATROL",INY-9BBB3ACC,27,INYECCION
FR-9827 9827 BUJE BARRA ESTABILIZADORA MERCEDES BENZ,FR-9782,24,FICHAS_INT_CAR
"FR-9828 9828 BUJE BALANCIN HOJA TOYOTA HILUX VIGO 2013 31,50 EXT 19 INT",INY-90336979,24,INYECCION
FR-9829 9829 BUJE BARRA ESTABILIZADORA NISSAN CABSTAR Y MT 3000,INY-38BACE22,27,INYECCION
FR-9830 9830 BUJE MUELLE HOJA TRASERA NPR 2008,FR-9303 / CB9721,30,FICHAS_INT_CAR
FR-9831 9831 BUJE BARRA ESTABI MERCEDES BENZ 815,INY-85851E8B,27,INYECCION
FR-9832 9832 BUJE BARRA ESTABILIADORA N300 CHEVROLET,INY-38BACE22,28,INYECCION
"FR-9833 9833 BUJE BASE AMORTIGUADOR DELANTERO, RENAUL, LOGAN, DUSTER Y SANDERO",INY-8CDEAEEE,23,INYECCION
"FR-9834 9834 BUJE CAJA DE DIRECCION  RENAULT CLIO, SYMBOL Y MEGANE",INY-38BACE22,26,INYECCION
FR-9835 9835 BUJE MUELLE 40mm X 19mm X 30mm POR UNIDAD,FR-9303 / CB9721,26,FICHAS_INT_CAR
FR-9836 9836 KIT BUJE MUELLE (REMPLAZO BUJE RB-410),INY-0969EF13,26,INYECCION
FR-9837 9837 BUJE MUÑECO HIUNDAI ATOS,INY-9939AF1F,33,INYECCION
FR-9838 9838 BUJE MUELLE MITSUBISHI CANTER Y TOYOTA DYNA SOLO POLIURETANO,INY-8CDEAEEE,24,INYECCION
FR-9839 9839 BUJE SUAVIZADOR BOLIVIA,INY-9939AF1F,33,INYECCION
FR-9840 9840 BUJE AMORTIGUADOR UNIVERSAL OEM 368150,INY-CC6D1949,25,INYECCION
FR-9841 9841 BUJE BALANCIN LARGO TOYOTA HI-ACE,INY-485EBA3B,31,INYECCION
"FR-9842 9842 BUJE CHERY VAN 2020, CHERY PRACTIVAN",INY-02CCAE9F,30,INYECCION
FR-9843 9843 BUJE PARTE FIJA N300 44 X 20,INY-C2748743,30,INYECCION
"FR-9844 9844 BUJE CHERY VAN YOYO 2020 56 X 11, CHERY PRACTIVAN",INY-02CCAE9F,27,INYECCION
FR-9845 9845 KIT BUJE BALANCIN LARGO TOYOTA HIACE,INY-44B0CBEE,33,INYECCION
FR-9846 9846 BUJE TOPE AMORTIGUADOR DELANTERO SSANYONG REXTON KYRON,INY-1E869467,23,INYECCION
FR-9847 9847 BUJE CONICO DE 14 ML,b1988eef,34,INYECCION
FR-9848 9848 BUJE CONICO DE 14ML,b1988eef,35,INYECCION
FR-9849 9849 BUJE CARRETA UNIVERSAL,9999caae,37,INYECCION
FR-9850 9850 BUJE MUELLE BALANCIN RB-414 CON INTERNO,INY-4159C850,31,INYECCION
FR-9851 9851 BUJE MUELLE PARTE FIJA HYUNDAI COUNTY,INY-85851E8B,29,INYECCION
FR-9852 9852 BUJE BARRA ESTABILIZADORA TOYOTA HILUX OEM:48815-0K040,INY-0433195D,23,INYECCION
FR-9853 9853 BUJE BARRA ESTABILIZADORA TOYOTA HILUX-4 RUNNER FORTUNER,INY-4533EB9D,27,INYECCION
FR-9854 9854 BUJE CONICO AMORTIGUADOR UNIVERSAL OEM 327037,INY-03C8C84E,26,INYECCION
FR-9855 9855 BUJE AMORTIGUADOR UNIVERSAL OEM 368120,INY-58715855,29,INYECCION
FR-9856 9856 BUJE CONICO AMORTIGUADOR UNIVERSAL 368121,INY-682A656F,27,INYECCION
"FR-9857 9857 BUJE TIJERA DELANTERA SUBARU FORESTER, LEGACY, OUTBACK MOD 2006 EN ADELANTE",INY-8CDEAEEE,20,INYECCION
FR-9858 9858 BUJE AMORTIGUADOR DE 14MM Y 35MM,INY-58513975,28,INYECCION
FR-9859 9859 BUJE AMORTIGUADOR DE 14MM Y 42MM,INY-0429A0DB,28,INYECCION
FR-9860 9860 BUJE PUNTA  BARRA ESTABILIZADORA NPR,INY-68BA7B4E,30,INYECCION
FR-9861 9861 BUJE AMORTIGUADOR DE 14MM Y 37MM,INY-1C319661,32,INYECCION
FR-9862 9862 BUJE CILINDRICO CABINA 60 X 60 X 12,INY-606624A0,30,INYECCION
FR-9863 9863 BUJE MUELLE CHANA PICK UP PARTE CHASIS,INY-38BACE22,25,INYECCION
"FR-9864 9864 BUJE AMORTIGUADOR PARA FORD RANGER 2016,2018 Y 2021",INY-05001208,26,INYECCION
FR-9865 9865 BUJE TOYOTA ESPECIAL 16 ML,INY-682A656F,31,INYECCION
FR-9866 9866 BUJE BARRA ESTABILIZADORA NISSAN PICKUP,INY-8C668ADD,28,INYECCION
FR-9867 9867 BUJE TIJERA CHEVROLET AVEO SAIL 1.4 / 1.6,INY-1E869467,25,INYECCION
FR-9868 9868 BUJE BARRA ESTABILIZADORA CHEVROLET LUV 2300 4X2 4X4 TROOPER,FR-9306HDR,22,FICHAS_INT_CAR
FR-9869 9869 BUJE BARRA ESTABILIZADORA MITSUBISHI LANCER GALANT,INY-68BA7B4E,24,INYECCION
FR-9870 9870 BUJE BARRA ESTABILIZADORA HONDA CIVIC 2001 ….DELANTERA,INY-8075CCCE,23,INYECCION
FR-9871 9871 BUJE BARRA ESTABILIZADORA HONDA CRV DELANTERA,INY-77D1BEE1,26,INYECCION
FR-9872 9872 BUJE BARRA ESTABILIZADORA HONDA CRV TRASERA,INY-737B2BC3,24,INYECCION
"FR-9873 9873 BUJE AMORTIGUADOR TOYOTA TACOMA, RUNNER, VIGO",INY-73993ABB,26,INYECCION
FR-9874 9874 BUJE BARRA ESTABILIZADORA MAZDA ALLEGRO TRASERA,INY-9744AEAD,25,INYECCION
FR-9875 9875 BUJE UNIVERSAL PARA AMORTIGUADOR,INY-58513975,28,INYECCION
FR-9876 9876 BUJE BARRA ESTABILIZADORA TOYOTA COROLLA 2002.,INY-68BA7B4E,26,INYECCION
FR-9877 9877 BUJE CONICO UNIVERSAL,FR-9779,34,FICHAS_INT_CAR
FR-9878 9878 BUJE PARA BRAZO TENSOR DE DIRECCION TOYOTA HILUX - 4 RUNNER,INY-89688D1F,24,INYECCION
FR-9879 9879 BUJE PARA BRAZO DIRECCION TOYOTA HILUX,INY-68BA7B4E,29,INYECCION
FR-9880 9880 BUJE BARRA ESTABILIZADORA TOYOTA 22R 4X2 … 84,INY-0429A0DB,24,INYECCION
"FR-9881 9881 BUJE KIT PALANCA DE CAMBIOS TOYOTA CELICA, FORYUNER, HILUX, TACOMA MOD 95-04",INY-0B819CCD,22,INYECCION
FR-9881B 9881B BUJE KIT PALANCA DE CAMBIOS TOYOTA,INY-89688D1F,33,INYECCION
FR-9882 9882 BUJE TOPE MUELLE DELANTERO NKR Y NPR COMPLETO,INY-8CDEAEEE,31,INYECCION
FR-9882R 9882R BUJE REPUESTO TOPE MUELLE DELANTERO NPR Y NKR,INY-8CDEAEEE,28,INYECCION
"FR-9883 9883 BUJE BARRA ESTABILIZADORA TOYOTA FJ CRUISER, DINA, FORD RANGER Y PRADO 150 Y TXL",INY-38BACE22,19,INYECCION
FR-9884 9884 BUJE BARRA ESTABILIZADORA HYUNDAI H1 / SANTA FE / TUCSON / SONATA,INY-9744AEAD,24,INYECCION
FR-9885 9885 BUJE BARRA ESTABILIZADORA EJE DELANTERO FIAT Y MITSUBISHI L200,INY-8CDEAEEE,23,INYECCION
FR-9886 9886 BUIJE BARRA ESTABILIZADORA TOYOTA 4 RUNNER LAND CRUISER PRADO Y TOYOTA TX,INY-68BA7B4E,20,INYECCION
FR-9887 9887 BUJE BARRA ESTABILIZADORA MITSUBISHI CANTER FUSO,878caebf,23,INYECCION
FR-9888 9888 BUJE MUELLE PARTE BALANCIN HAFEI CHINOS,INY-38BACE22,25,INYECCION
FR-9889 9889 BUJES MUELLE VEHICULOS CHINOS,INY-85851E8B,26,INYECCION
FR-9890 9890 BUJE BARRA ESTABILIZADORA DELANTERO CHEVROLET-SUZUKI VITARA-GRAND VITARA - SAMURAI,INY-8CDEAEEE,17,INYECCION
FR-9891 9891 BUJE PALANCA DE CAMBIOS TOYOTA (MEDIDA ESPECIAL),INY-8CDEAEEE,28,INYECCION
FR-9892 9892 BUJE PARA BRAZO TENSOR DE DIRECCION TOYOTA HILUX -4 RUNNER INT 16,INY-68BA7B4E,22,INYECCION
FR-9893 9893 BUJE TIJERA CHEVROLET AVEO - SAIL,INY-9939AF1F,29,INYECCION
FR-9894 9894 BUJE BARRA ESTABILIZADORA CHEVROLET SAIL DELANTERA,INY-8CDEAEEE,24,INYECCION
FR-9896 9896 BUJE MUELLE TOYOTA 22R SENCILLO,INY-BA2A26BF,29,INYECCION
"FR-9902 9902 BUJE BARRA TENSORA ISUZU PUB, KB",INY-9939AF1F,29,INYECCION
"FR-9903 9903 BUJE MUELLE ESPECIAL 18,2 X 30 X 70",FR-9303 / CB9721,29,FICHAS_INT_CAR
"FR-9904 9904 BUJE MUELLE ESPECIAL 18,2 X 30 X 76",INY-10729950,27,INYECCION
FR-9905 9905 BUJE PARA BALANCIN DOBLE ACCIÓN BDF-001 Y 002,INY-10729950,32,INYECCION
FR-9906 9906 BUJE BARRA ESTABILIZADORA TOYOTA PRADO 4 RUNNER CORAXI 02-08,INY-006A5C5A,24,INYECCION
FR-9907 9907 BUJE BARRA TENSORA TOYOTA HIACE (03-12),INY-10729950,32,INYECCION
FR-9908 9908 BUJE BRAZO DELANTERO SUPERIOR NISSAN URVAN,INY-8A0AB4A0,24,INYECCION
FR-9909 9909 BUJE BARRA ESTABILIZADORA HYUNDAI TERRACAN 2001-07,INY-10729950,24,INYECCION
"FR-9910 9910 BUJE ACOPLE ESTRELA PARA CAJA DE DIRECCION HYUNDAI ACCENT 2011, ELANTRA  - KIA RIO",INY-8CDEAEEE,19,INYECCION
"FR-9911 9911 BUJE BRAZO OSCILANTE NISSAN NAVARA, D21,720 Y CABSTAR",INY-9939AF1F,26,INYECCION
FR-9912 9912 BUJE BARRA ESRABILIZADORA DELANTERA NISSAN URVAN NV350 / E26,INY-BA2A26BF,24,INYECCION
"FR-9913 9913 BUJE BARRA ESTABILIZADORA DELANTERA NPR REWARD, NKR REWARD NQR REWARD",INY-73993ABB,19,INYECCION
FR-9914 9914 BUJE BARRA TENSORA HYUNDAI STAREX 97..,INY-742941BA,30,INYECCION
FR-9915 9915 BUJE TOPE MUELLE SUSPENSION TRASERA TOYOTA HILUX VIGO REVO,INY-591EE0EE,27,INYECCION
FR-9916 9916 BUJE DE AMORTIGUADOR PARA MERCEDES CON INTERNO,INY-9939AF1F,23,INYECCION
"FR-9917 9917 BUJE BARRA ESTABILIZADORA TRASERA NISSAN FRONTIER NP300, NAVARA Y RENAULT ALASKAN",INY-9939AF1F,19,INYECCION
FR-9918 9918 BUJE MUELLE HULE BALANCIN PARA MITSUBIHI L200 SPORTERO 2018 ….,9999caae,20,INYECCION
FR-9919 9919 BUJE BARRA ESTABILIZADORA TRASERO HYUNDAI COUNTY 4X2 MODELO 2010,INY-0429A0DB,20,INYECCION
